strut_diameter:0.35,limits,layer_thickness:0.03
strut_diameter:0.35,limits,hatch_distance:0.14
strut_length:3.54,limits,hatch_distance:0.14
strut_length:5,limits,hatch_distance:0.14
downskin_angle:0,limits,hatch_distance:0.14
downskin_angle:90,limits,hatch_distance:0.14
downskin_angle:45,limits,hatch_distance:0.14
material:AlSi10Mg,limits,layer_thickness:0.03
strut_length:0.43,limits,beam_diameter:100
strut_diameter:0.35,limits,beam_diameter:100
downskin_angle:0,limits,beam_diameter:100
downskin_angle:35,limits,beam_diameter:100
material:AlSi10Mg,limits,energy_density:49.93
beam_diameter:100,limits,hatch_distance:0.19
strut_diameter:0.35,limits,layer_thickness:0.03
strut_diameter:0.3,limits,beam_diameter:100
strut_length:2.5,limits,beam_diameter:100
downskin_angle:45,limits,beam_diameter:100
strut_diameter:0.3,limits,layer_thickness:0.03
material:Ti6Al4V,limits,laser_power:200
material:Ti6Al4V,limits,hatch_distance:0.105
material:Ti6Al4V,limits,scan_speed:1
strut_diameter:0.8,limits,hatch_distance:0.105
downskin_angle:0,limits,hatch_distance:0.105
downskin_angle:90,limits,hatch_distance:0.105
strut_diameter:0.3,limits,hatch_distance:0.105
downskin_angle:45,limits,hatch_distance:0.105
material:AlSi10Mg,limits,layer_thickness:0.03
strut_length:2.5,limits,beam_diameter:100
strut_diameter:0.5,limits,beam_diameter:100
downskin_angle:0,limits,beam_diameter:100
downskin_angle:35,limits,beam_diameter:100
material:AlSi10Mg,limits,energy_density:49.93
beam_diameter:100,limits,hatch_distance:0.19
strut_diameter:0.5,limits,layer_thickness:0.03
strut_diameter:1.2,limits,layer_thickness:0.035
strut_diameter:1.2,limits,beam_diameter:80
strut_length:3,limits,beam_diameter:80
material:AlSi10Mg,limits,layer_thickness:0.035
material:AlSi10Mg,limits,energy_density:61.7
downskin_angle:35,limits,beam_diameter:80
beam_diameter:80,limits,hatch_distance:0.09
material:AlSi10Mg,limits,layer_thickness:0.03
strut_length:2.5,limits,beam_diameter:100
strut_diameter:0.5,limits,beam_diameter:100
downskin_angle:35,limits,beam_diameter:100
material:AlSi10Mg,limits,energy_density:49.93
beam_diameter:100,limits,hatch_distance:0.19
strut_diameter:0.5,limits,layer_thickness:0.03
